Gene_1_expression,Gene_2_expression,Gene_3_expression,Gene_4_expression,Gene_5_expression,Gene_6_expression,Gene_7_expression,Gene_8_expression,Gene_9_expression,Gene_10_expression,Cell_Type
1.143115513195364,0.9765820925794754,1.7684183886421572,0.7022813736722343,2.407400613980748,1.783842835453159,0.8037770473691193,2.2905560314860622,2.26647167308015,1.1428177350001099,Cell type A
0.6173400940327398,1.2609059991009393,1.792748047413784,0.0,0.0460534139164331,0.6108732083191241,3.928311843828635,0.7121083298159925,3.64286909020147,1.195793135314554,Cell type A
0.4407649269025451,1.1451959807504635,0.7581762776854322,2.2006854122790873,0.636057287831991,1.0799483214722059,1.3044188160635222,2.384071045040492,4.401739915634206,0.0,Cell type A
2.020369770105558,2.1446197516909122,0.0,2.9736278015415882,0.5111003422613725,0.46438232807792723,2.5805248768920412,1.4988870197037922,0.0,1.873991668335505,Cell type A
1.2523747493143782,2.2661193736902203,1.882734033530856,0.697933675115715,0.0,1.1933032632958451,2.46793718025431,1.026014585354908,2.2053338776892306,2.2570260191664877,Cell type A
0.048151162994578556,0.5067760538326891,4.36372219481907,2.9556485264618937,0.0,2.0523902475278955,2.0518699505499964,0.749635140308005,1.468492598860843,2.2757763606670895,Cell type A
2.8924598430362685,3.2025842128836883,1.2718766759779583,0.8802722945631039,0.2851767581068614,2.189001057552836,4.2467659162419364,2.4324922982746053,2.3387037335839342,1.1067858421661756,Cell type A
1.90661267597293,0.73161923637092,0.5660017382136558,2.6559594371345585,0.5145646275843749,0.3613272831001774,6.897740984371429,3.4917559878302713,2.175572850548771,0.03007984896448057,Cell type A
0.18388049806941564,0.21864648812812448,0.0,1.7899904803147058,0.6007690849617241,1.2444924432896682,0.5620557676618568,4.231314138312454,1.6802910210583395,0.0,Cell type A
1.349130252466063,1.9552509919409784,0.6170776762653296,2.0178470670565654,0.8121126974908486,2.6191407166965037,1.6043334812166556,0.9186736557314583,1.6136920616360952,1.2388073024603987,Cell type A
